"Mass","formula","HC","OC"
331.1551967,"C19H24O5",1.26,0.26
331.1761903,"C16H28O7",1.75,0.44
331.1914961,"C20H28O4",1.4,0.2
331.212569,"C17H32O6",1.88,0.35
331.227957,"C21H32O3",1.52,0.14
331.2490916,"C18H36O5",2,0.28
332.011623,"C8H15O9N1S2",1.88,1.12
332.083959,"C12H20O4N3S1P1",1.67,0.33
332.084328,"C10H23O7N1S2",2.3,0.7
332.207911,"C16H31O6N1",1.94,0.38
332.950107,"C10H10O3N2S4",1,0.3
333.061546,"C16H14O8",0.88,0.5
333.061739,"C16H14O8",0.88,0.5
333.0890319,"C9H23O7N2S1P1",2.56,0.78
333.097917,"C17H18O7",1.06,0.41
333.1343113,"C18H22O6",1.22,0.33
333.1473375,"C15H27O6P1",1.8,0.4
333.1707649,"C19H26O5",1.37,0.26
333.2071155,"C20H30O4",1.5,0.2
333.243592,"C21H34O3",1.62,0.14
333.3163591,"C23H42O1",1.83,0.04
334.0900135,"C12H21O4N3S2",1.75,0.33
334.2235655,"C16H33O6N1",2.06,0.38
334.259985,"C17H37O5N1",2.18,0.29
335.040865,"C15H12O9",0.8,0.6
335.141869,"C18H25O4P1",1.39,0.22
335.1500193,"C18H24O6",1.33,0.33
335.1864328,"C19H28O5",1.47,0.26
335.2227372,"C20H32O4",1.6,0.2
335.259244,"C21H36O3",1.71,0.14
335.3320062,"C23H44O1",1.91,0.04
336.088049,"C12H23O2N3S3",1.92,0.17
336.148577,"C14H27O6N1S1",1.93,0.43
336.2391787,"C16H35O6N1",2.19,0.38
337.010262,"C16H6O7N2",0.38,0.44
337.0353754,"C18H10O7",0.56,0.39
337.035557,"C11H18O4N2S3",1.64,0.36
337.071993,"C12H22O3N2S3",1.83,0.25
337.1293071,"C17H22O7",1.29,0.41
337.1656425,"C18H26O6",1.44,0.33
337.1809977,"C22H26O3",1.18,0.14
337.2020785,"C19H30O5",1.58,0.26
337.2053898,"C16H34O5S1",2.12,0.31
337.238506,"C20H34O4",1.7,0.2
337.3113007,"C22H42O2",1.91,0.09
337.3475774,"C23H46O1",2,0.04
337.952115,"C15H5O1N3S3",0.33,0.07
338.03056,"C17H9O7N1",0.53,0.41
339.0509985,"C18H12O7",0.67,0.39
339.0873853,"C19H16O6",0.84,0.32
339.1026827,"C23H16O3",0.7,0.13
339.108551,"C16H20O8",1.25,0.5
339.123763,"C20H20O5",1,0.25
339.1449952,"C17H24O7",1.41,0.41
339.1813864,"C18H28O6",1.56,0.33
339.1999861,"C19H32O3S1",1.68,0.16
339.2177101,"C19H32O5",1.68,0.26
339.2905037,"C21H40O3",1.9,0.14
339.992773,"C8H13O6N3S1P2",1.62,0.75
340.031884,"C14H15O5N1S2",1.07,0.36
340.212917,"C18H31O5N1",1.72,0.28
340.908013,"C11H4O7S1P2",0.36,0.64
340.9802815,"C14H14O2S4",1,0.14
340.987448,"C15H6O6N2S1",0.4,0.4
341.0302967,"C17H10O8",0.59,0.47
341.0666518,"C18H14O7",0.78,0.39
341.1031445,"C19H18O6",0.95,0.32
341.1183343,"C23H18O3",0.78,0.13
341.152401,"C17H27O5P1",1.59,0.29
341.1606167,"C17H26O7",1.53,0.41
341.1970439,"C18H30O6",1.67,0.33
341.26977,"C20H38O4",1.9,0.2
341.3061233,"C21H42O3",2,0.14
342.080761,"C11H25O1N3S4",2.27,0.09
342.2649492,"C19H37O4N1",1.95,0.21
342.933621,"C10H4O8N2S2",0.4,0.8
342.977319,"C13H12O5S3",0.92,0.38
343.0458918,"C17H12O8",0.71,0.47
343.0817425,"C10H20O9N2S1",2,0.9
343.082361,"C18H16O7",0.89,0.39
343.0825845,"C18H16O7",0.89,0.39
343.089067,"C12H24O7S2",2,0.58
343.093571,"C17H16O6N2",0.94,0.35
343.097574,"C22H16O4",0.73,0.18
343.1186585,"C19H20O6",1.05,0.32
343.1189035,"C12H28O3N2S3",2.33,0.25
343.1397793,"C16H24O8",1.5,0.5
343.1761614,"C17H28O7",1.65,0.41
343.2126993,"C18H32O6",1.78,0.33
343.2490741,"C19H36O5",1.89,0.26
343.2853978,"C20H40O4",2,0.2
344.071038,"C16H15O4N3S1",0.94,0.25
344.078181,"C9H21O7N3P2",2.33,0.78
344.083449,"C10H19O12N1",1.9,1.2
344.084345,"C11H23O7N1S2",2.09,0.64
344.092228,"C13H19O6N3S1",1.46,0.46
344.223123,"C21H31O3N1",1.48,0.14
345.0616464,"C17H14O8",0.82,0.47
345.061884,"C17H14O8",0.82,0.47
345.0768879,"C21H14O5",0.67,0.24
345.0771277,"C14H22O2N2S3",1.57,0.14
345.0889788,"C10H23O7N2S1P1",2.3,0.7
345.0979623,"C18H18O7",1,0.39
345.13436,"C19H22O6",1.16,0.32
345.147285,"C16H27O6P1",1.69,0.38
345.155562,"C16H26O8",1.62,0.5
345.156336,"C17H30O3S2",1.76,0.18
345.1707726,"C20H26O5",1.3,0.25
345.1918824,"C17H30O7",1.76,0.41
345.2283212,"C18H34O6",1.89,0.33
345.2434585,"C22H34O3",1.55,0.14
345.2469326,"C19H38O3S1",2,0.16
345.2645863,"C19H38O5",2,0.26
346.07227,"C13H21O2N3S3",1.62,0.15
346.1871937,"C16H29O7N1",1.81,0.44
346.910864,"C9H4O7N2S3",0.44,0.78
346.936409,"C10H6O10P2",0.6,1
347.0408444,"C16H12O9",0.75,0.56
347.075813,"C11H25O6S2P1",2.27,0.55
347.0773165,"C17H16O8",0.94,0.47
347.07752,"C10H24O5N2S3",2.4,0.5
347.1136807,"C18H20O7",1.11,0.39
347.1499918,"C19H24O6",1.26,0.32
347.162872,"C16H29O6P1",1.81,0.38
347.1864064,"C20H28O5",1.4,0.25
347.222803,"C21H32O4",1.52,0.19
347.2439232,"C18H36O6",2,0.33
347.2591882,"C22H36O3",1.64,0.14
347.2703833,"C21H36O2N2",1.71,0.1
348.20279,"C16H31O7N1",1.94,0.44
348.275641,"C18H39O5N1",2.17,0.28
349.0353105,"C19H10O7",0.53,0.37
349.072558,"C21H18O1S2",0.86,0.05
349.084718,"C17H19O6P1",1.12,0.35
349.1081396,"C21H18O5",0.86,0.24
349.1292944,"C18H22O7",1.22,0.39
349.165667,"C19H26O6",1.37,0.32
349.202086,"C20H30O5",1.5,0.25
349.2384477,"C21H34O4",1.62,0.19
350.2184858,"C16H33O7N1",2.06,0.44
350.3065073,"C22H41O2N1",1.86,0.09
351.046936,"C14H12O9N2",0.86,0.64
351.0873844,"C20H16O6",0.8,0.3
351.1238983,"C21H20O5",0.95,0.24
351.1448948,"C18H24O7",1.33,0.39
351.1812794,"C19H28O6",1.47,0.32
351.194148,"C16H33O6P1",2.06,0.38
351.217734,"C20H32O5",1.6,0.25
351.2541388,"C21H36O4",1.71,0.19
351.3269529,"C23H44O2",1.91,0.09
351.3632792,"C24H48O1",2,0.04
352.234062,"C16H35O7N1",2.19,0.44
353.030217,"C18H10O8",0.56,0.44
353.0667386,"C19H14O7",0.74,0.37
353.066921,"C19H14O7",0.74,0.37
353.0819726,"C23H14O4",0.61,0.17
353.0822226,"C16H22O1N2S3",1.38,0.06
353.1030773,"C20H18O6",0.9,0.3
353.12415,"C17H22O8",1.29,0.47
353.1605104,"C18H26O7",1.44,0.39
353.1969697,"C19H30O6",1.58,0.32
353.2002874,"C16H34O6S1",2.12,0.38
353.2333139,"C20H34O5",1.7,0.25
