"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",248.0564721,"C12H11O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",249.0041068,"C11H6O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",249.0405064,"C12H10O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",249.0616291,"C9H14O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",249.0768879,"C13H14O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",249.1132528,"C14H18O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",249.149653,"C15H22O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",250.0357391,"C11H9O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",250.0721383,"C12H13O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",251.0197609,"C11H8O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",251.0561328,"C12H12O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",251.0674061,"C11H12O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",251.0925329,"C13H16O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",251.12893,"C14H20O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",251.165288,"C15H24O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",252.0513958,"C11H11O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",252.0877533,"C12H15O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",253.0354186,"C11H10O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",253.0718023,"C12H14O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",253.0830301,"C11H14O5N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",253.108174,"C13H18O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",253.1445636,"C14H22O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",253.1809355,"C15H26O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",253.2173418,"C16H30O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",254.0670428,"C11H13O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.0146653,"C10H8O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.0510695,"C11H12O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",255.0622824,"C10H12O6N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
