"FT_col","ID","W","Mass","formula","presence","Site","Trtmt","Material","max_reps","formulareps","include"
"FT","02","C",373.1292471,"C20H22O7",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",377.3062273,"C24H42O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",379.2490201,"C22H36O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",379.3218429,"C24H44O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",379.3582665,"C25H48O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",381.2646609,"C22H38O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",381.3011061,"C23H42O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",381.3373541,"C24H46O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",381.373878,"C25H50O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",383.2075317,"C20H32O7",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",383.3166565,"C23H44O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",385.2596699,"C21H38O6",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",385.2960111,"C22H42O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",385.3324112,"C23H46O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",387.2752584,"C21H40O6",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",389.3062206,"C25H42O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",390.3225444,"C21H45O5N1",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",392.3018497,"C20H43O6N1",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",393.373837,"C26H50O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",394.2810702,"C19H41O7N1",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",395.2438305,"C22H36O6",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",395.2802992,"C23H40O5",1,"TOOL","CON","Organic",8,6,TRUE
