"Mass","formula","HC","OC"
237.035643,"C8H15O4S1P1",1.88,0.5
237.0404825,"C11H10O6",0.91,0.55
237.0438293,"C8H14O6S1",1.75,0.75
237.0516964,"C10H10O5N2",1,0.5
237.0616241,"C8H14O8",1.75,1
237.072021,"C9H19O3S1P1",2.11,0.33
237.0768748,"C12H14O5",1.17,0.42
237.0802712,"C9H18O5S1",2,0.56
237.0880645,"C11H14O4N2",1.27,0.36
237.091467,"C8H18O4N2S1",2.25,0.5
237.0979979,"C9H18O7",2,0.78
237.1132596,"C13H18O4",1.38,0.31
237.1496402,"C14H22O3",1.57,0.21
238.0357207,"C10H9O6N1",0.9,0.6
238.0721053,"C11H13O5N1",1.18,0.45
238.0932167,"C8H17O7N1",2.12,0.88
238.1084776,"C12H17O4N1",1.42,0.33
239.0197627,"C10H8O7",0.8,0.7
239.0309547,"C9H8O6N2",0.89,0.67
239.0561456,"C11H12O6",1.09,0.55
239.0673989,"C10H12O5N2",1.2,0.5
239.0772678,"C8H16O8",2,1
239.092537,"C12H16O5",1.33,0.42
239.1037692,"C11H16O4N2",1.45,0.36
239.1136513,"C9H20O7",2.22,0.78
239.1289143,"C13H20O4",1.54,0.31
239.1652919,"C14H24O3",1.71,0.21
239.2016808,"C15H28O2",1.87,0.13
240.0149857,"C9H7O7N1",0.78,0.78
240.0513824,"C10H11O6N1",1.1,0.6
240.0626327,"C9H11O5N3",1.22,0.56
240.0877663,"C11H15O5N1",1.36,0.45
240.1088895,"C8H19O7N1",2.38,0.88
240.1241685,"C12H19O4N1",1.58,0.33
240.9990316,"C9H6O8",0.67,0.89
241.005379,"C5H11O5N2S1P1",2.2,1
241.0354099,"C10H10O7",1,0.7
241.0466314,"C9H10O6N2",1.11,0.67
241.0506707,"C14H10O4",0.71,0.29
241.054075,"C11H14O4S1",1.27,0.36
241.0595465,"C6H15O6N2P1",2.5,1
241.061854,"C13H10O3N2",0.77,0.23
241.0717879,"C11H14O6",1.27,0.55
241.0830392,"C10H14O5N2",1.4,0.5
241.0929135,"C8H18O8",2.25,1
241.1081611,"C12H18O5",1.5,0.42
241.1193858,"C11H18O4N2",1.64,0.36
241.1445499,"C13H22O4",1.69,0.31
241.180943,"C14H26O3",1.86,0.21
241.2173341,"C15H30O2",2,0.13
241.994305,"C8H5O8N1",0.62,1
242.0306424,"C9H9O7N1",1,0.78
242.045915,"C13H9O4N1",0.69,0.31
242.06703,"C10H13O6N1",1.3,0.6
242.0704186,"C7H17O6N1S1",2.43,0.86
