"CoreID","Mass","formula","presence"
"GHG_03_C",591.3912124,"C35H60O3S2",1
"GHG_03_C",592.394137,"C36H55O2N3S1",1
"GHG_03_C",595.4224433,"C35H64O3S2",1
"GHG_03_C",595.491915,"C40H68O1S1",1
"GHG_03_C",599.357326,"C29H61O6S2P1",1
"GHG_03_C",601.336655,"C28H59O7S2P1",1
"GHG_03_C",601.4262735,"C40H58O4",1
"GHG_03_C",603.447734,"C33H64O9",1
"GHG_03_C",604.4438655,"C33H67O4N1S2",1
"GHG_03_C",607.3861406,"C35H60O4S2",1
"GHG_03_C",615.510578,"C38H68O4N2",1
"GHG_03_C",616.319507,"C27H55O10N1S2",1
"GHG_03_C",617.4933235,"C34H70O5N2S1",1
"GHG_03_C",618.474808,"C38H69O1N1S2",1
"GHG_03_C",623.486788,"C41H68O2S1",1
"GHG_03_C",625.3966546,"C35H62O5S2",1
"GHG_03_C",627.3912176,"C38H60O3S2",1
"GHG_03_C",627.424372,"C31H65O10P1",1
"GHG_03_C",627.5206956,"C37H72O7",1
"GHG_03_C",631.4726715,"C34H68O6N2S1",1
"GHG_03_C",633.361902,"C28H59O13P1",1
"GHG_03_C",635.5263576,"C40H76O1S2",1
"GHG_03_C",641.5007932,"C38H74O3S2",1
"GHG_03_C",645.492276,"C40H70O4S1",1
"GHG_03_C",647.377826,"C29H61O13P1",1
"GHG_03_C",648.5355407,"C35H75O5N3S1",1
"GHG_03_C",659.450326,"C43H64O3S1",1
"GHG_03_C",659.5036796,"C36H72O6N2S1",1
"GHG_03_C",661.538034,"C37H78O3N2S2",1
"GHG_03_C",662.5510995,"C36H77O5N3S1",1
"GHG_03_C",663.5181823,"C44H72O2S1",1
"GHG_03_C",665.4973135,"C43H70O3S1",1
"GHG_03_C",665.533761,"C44H74O2S1",1
"GHG_03_C",667.440151,"C41H64O5S1",1
"GHG_03_C",671.4404015,"C35H65O8N2P1",1
"GHG_03_C",671.47701,"C36H69O7N2P1",1
"GHG_03_C",671.510554,"C38H72O9",1
"GHG_03_C",671.57657,"C39H80O4N2S1",1
"GHG_03_C",673.4331084,"C40H66O4S2",1
"GHG_03_C",673.483704,"C44H66O5",1
"GHG_03_C",673.555979,"C38H78O5N2S1",1
"GHG_03_C",676.5667532,"C37H79O5N3S1",1
"GHG_03_C",681.528417,"C44H74O3S1",1
"GHG_03_C",684.5159312,"C39H76O4N1S1P1",1
"GHG_03_C",685.4713807,"C40H67O5N2P1",1
"GHG_03_C",687.5350992,"C38H76O6N2S1",1
"GHG_03_C",689.5754052,"C42H79O3N2P1",1
"GHG_03_C",691.4941145,"C44H68O6",1
"GHG_03_C",693.528728,"C45H74O3S1",1
"GHG_03_C",697.4477323,"C38H70O3N2S3",1
"GHG_03_C",698.5326957,"C38H73O8N3",1
"GHG_03_C",698.6050733,"C40H81O6N3",1
"GHG_03_C",701.466568,"C38H70O9S1",1
"GHG_03_C",705.5703504,"C42H79O4N2P1",1
"GHG_03_C",705.57953,"C43H82O1N2S2",1
"GHG_03_C",706.5952947,"C38H81O8N3",1
"GHG_03_C",711.539045,"C45H76O4S1",1
"GHG_03_C",715.441027,"C35H73O8S2P1",1
"GHG_03_C",715.4821015,"C41H69O6N2P1",1
"GHG_03_C",717.576318,"C47H78O1N2S1",1
"GHG_03_C",717.6364115,"C41H86O7N2",1
"GHG_03_C",721.610198,"C43H82O6N2",1
"GHG_03_C",722.612451,"C44H85O4N1S1",1
"GHG_03_C",723.5086663,"C38H76O10S1",1
"GHG_03_C",723.544912,"C39H80O9S1",1
"GHG_03_C",723.687303,"C46H92O5",1
"GHG_03_C",725.480574,"C35H70O13N2",1
"GHG_03_C",725.6302334,"C44H86O7",1
"GHG_03_C",731.561371,"C40H80O7N2S1",1
"GHG_03_C",733.5407485,"C39H78O8N2S1",1
"GHG_03_C",733.5956315,"C41H86O4N2S2",1
"GHG_03_C",736.6573126,"C44H87O5N3",1
"GHG_03_C",737.553415,"C38H78O11N2",1
"GHG_03_C",738.6000357,"C42H81O7N3",1
"GHG_03_C",738.7091781,"C45H93O4N3",1
"GHG_03_C",740.578712,"C43H84O4N1S1P1",1
"GHG_03_C",747.5815488,"C42H84O8S1",1
"GHG_03_C",747.6175293,"C45H85O4N2P1",1
"GHG_03_C",748.62505,"C49H83O4N1",1
"GHG_03_C",749.5607635,"C41H82O9S1",1
"GHG_03_C",751.533503,"C39H80O7N2S2",1
"GHG_03_C",751.606681,"C49H84O3S1",1
"GHG_03_C",751.6121163,"C44H85O5N2P1",1
"GHG_03_C",751.643346,"C50H88O2S1",1
"GHG_03_C",751.6486533,"C45H89O4N2P1",1
"GHG_03_C",751.6851075,"C46H93O3N2P1",1
"GHG_03_C",751.7183738,"C48H96O5",1
"GHG_03_C",753.548422,"C38H78O12N2",1
"GHG_03_C",755.527325,"C37H76O13N2",1
"GHG_03_C",755.563844,"C38H80O12N2",1
"GHG_03_C",757.492388,"C43H71O7N2P1",1
"GHG_03_C",757.5657828,"C43H82O8S1",1
"GHG_03_C",761.62746,"C51H86O2S1",1
"GHG_03_C",763.605286,"C41H84O10N2",1
"GHG_03_C",765.5913825,"C44H83O6N2P1",1
"GHG_03_C",767.7142834,"C49H100O1S2",1
"GHG_03_C",769.5503893,"C40H82O11S1",1
"GHG_03_C",769.7226005,"C47H98O3N2S1",1
"GHG_03_C",783.5660065,"C41H84O11S1",1
"GHG_03_C",787.677317,"C47H97O4S1P1",1
"GHG_03_C",789.6013877,"C55H82O1S1",1
"GHG_03_C",793.656257,"C48H90O8",1
"GHG_03_C",795.557626,"C53H80O1S2",1
"GHG_03_C",795.7092059,"C50H100O2S2",1
"GHG_03_C",797.687575,"C48H94O8",1
"GHG_03_C",799.640971,"C47H93O5S1P1",1
"GHG_03_C",799.697272,"C55H92O3",1
"GHG_03_C",803.634848,"C56H84O3",1
"GHG_03_C",809.6180397,"C44H90O10S1",1
"GHG_03_C",810.6914272,"C51H93O2N3S1",1
"GHG_03_C",811.7697018,"C50H104O3N2S1",1
"GHG_03_C",813.5676615,"C52H78O7",1
"GHG_03_C",813.6567273,"C48H95O5S1P1",1
"GHG_03_C",813.6770905,"C48H98O1N2S3",1
"GHG_03_C",815.5671782,"C40H84O12N2S1",1
"GHG_03_C",817.6876875,"C48H99O5S1P1",1
"GHG_03_C",819.668008,"C45H92O10N2",1
"GHG_03_C",819.704324,"C46H96O9N2",1
"GHG_03_C",821.6511413,"C49H90O9",1
