"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
221.154767,"C14H22O2","CHO",1.57,0.14,0.2308,-1.2857,14,22,2,0,0,0,"aliphatic"
222.077125,"C11H13O4N1","CHON",1.18,0.36,0.375,-0.1818,11,13,4,1,0,0,"unsaturated/lignin"
223.079772,"C12H16O2S1","CHOS",1.33,0.17,0.3,-0.8333,12,16,2,0,1,0,"unsaturated/lignin"
223.097554,"C12H16O4","CHO",1.33,0.33,0.3,-0.6667,12,16,4,0,0,0,"unsaturated/lignin"
225.0404198,"C10H10O6","CHO",1,0.6,0.4286,0.2,10,10,6,0,0,0,"unsaturated/lignin"
225.076809,"C11H14O5","CHO",1.27,0.45,0.2941,-0.3636,11,14,5,0,0,0,"unsaturated/lignin"
225.113238,"C12H18O4","CHO",1.5,0.33,0.2,-0.8333,12,18,4,0,0,0,"aliphatic"
227.0924743,"C11H16O5","CHO",1.45,0.45,0.1765,-0.5455,11,16,5,0,0,0,"unsaturated/lignin"
227.12892,"C12H20O4","CHO",1.67,0.33,0.1,-1,12,20,4,0,0,0,"aliphatic"
227.165274,"C13H24O3","CHO",1.85,0.23,0.0435,-1.3846,13,24,3,0,0,0,"aliphatic"
227.2016811,"C14H28O2","CHO",2,0.14,0,-1.7143,14,28,2,0,0,0,"aliphatic"
229.108191,"C11H18O5","CHO",1.64,0.45,0.0588,-0.7273,11,18,5,0,0,0,"aliphatic"
229.144555,"C12H22O4","CHO",1.83,0.33,0,-1.1667,12,22,4,0,0,0,"aliphatic"
229.180952,"C13H26O3","CHO",2,0.23,-0.0435,-1.5385,13,26,3,0,0,0,"aliphatic"
231.1238535,"C11H20O5","CHO",1.82,0.45,-0.0588,-0.9091,11,20,5,0,0,0,"aliphatic"
231.967026,"C5H3O6N3S1","CHONS",0.6,1.2,0.5,4,5,3,6,3,1,0,"unsaturated/lignin"
232.174112,"C12H27O1N1S1","CHONS",2.25,0.08,-0.2632,-1.6667,12,27,1,1,1,0,"aliphatic"
233.154701,"C15H22O2","CHO",1.47,0.13,0.2857,-1.2,15,22,2,0,0,0,"unsaturated/lignin"
235.061221,"C12H12O5","CHO",1,0.42,0.4737,-0.1667,12,12,5,0,0,0,"unsaturated/lignin"
235.097562,"C13H16O4","CHO",1.23,0.31,0.3636,-0.6154,13,16,4,0,0,0,"unsaturated/lignin"
237.0404835,"C11H10O6","CHO",0.91,0.55,0.5,0.1818,11,10,6,0,0,0,"unsaturated/lignin"
237.076824,"C12H14O5","CHO",1.17,0.42,0.3684,-0.3333,12,14,5,0,0,0,"unsaturated/lignin"
237.14966,"C14H22O3","CHO",1.57,0.21,0.2,-1.1429,14,22,3,0,0,0,"aliphatic"
239.0349783,"C14H8O4","CHO",0.57,0.29,0.75,0,14,8,4,0,0,0,"condensed aromatic"
239.0925102,"C12H16O5","CHO",1.33,0.42,0.2632,-0.5,12,16,5,0,0,0,"unsaturated/lignin"
239.1288466,"C13H20O4","CHO",1.54,0.31,0.1818,-0.9231,13,20,4,0,0,0,"aliphatic"
239.14011,"C12H20O3N2","CHON",1.67,0.25,0.0588,-0.6667,12,20,3,2,0,0,"aliphatic"
239.1652937,"C14H24O3","CHO",1.71,0.21,0.12,-1.2857,14,24,3,0,0,0,"aliphatic"
239.2016668,"C15H28O2","CHO",1.87,0.13,0.0714,-1.6,15,28,2,0,0,0,"aliphatic"
241.050629,"C14H10O4","CHO",0.71,0.29,0.6667,-0.1429,14,10,4,0,0,0,"condensed aromatic"
241.071786,"C11H14O6","CHO",1.27,0.55,0.25,-0.1818,11,14,6,0,0,0,"unsaturated/lignin"
