"V1","V2"
18.88,1031
18.89,1008
18.9,992
18.91,1019
18.92,1060
18.93,1019
18.94,970
18.95,963
18.96,1016
18.97,1007
18.98,1046
18.99,1013
19,960
19.01,985
19.02,978
19.03,1028
19.04,999
19.05,1007
19.06,1023
19.07,1083
19.08,1014
19.09,1043
19.1,1010
19.11,1005
19.12,998
19.13,959
19.14,1063
19.15,999
19.16,1053
19.17,1014
19.18,1055
19.19,1028
19.2,1035
19.21,1038
19.22,1037
19.23,977
19.24,1033
19.25,991
19.26,1038
19.27,1029
19.28,1008
19.29,1014
19.3,1075
19.31,1050
19.32,1062
19.33,1020
19.34,1035
19.35,1013
19.36,957
19.37,1036
19.38,1039
19.39,1043
19.4,1066
19.41,1057
19.42,1036
19.43,1045
19.44,1060
19.45,1083
19.46,1076
19.47,1047
19.48,1033
19.49,1029
19.5,1052
19.51,1077
19.52,1055
19.53,1058
19.54,1081
19.55,1123
19.56,1079
19.57,1117
19.58,1089
19.59,1163
19.6,1187
19.61,1206
19.62,1207
19.63,1220
19.64,1232
19.65,1243
19.66,1258
19.67,1318
19.68,1292
19.69,1404
19.7,1350
19.71,1375
19.72,1441
19.73,1432
19.74,1460
19.75,1506
19.76,1514
19.77,1511
19.78,1574
19.79,1516
19.8,1525
19.81,1505
19.82,1524
19.83,1561
19.84,1463
19.85,1531
19.86,1569
19.87,1515
19.88,1539
19.89,1548
19.9,1558
19.91,1561
19.92,1469
19.93,1474
19.94,1460
19.95,1416
19.96,1409
19.97,1390
19.98,1333
19.99,1302
20,1305
20.01,1296
20.02,1304
20.03,1314
20.04,1256
20.05,1321
20.06,1301
20.07,1279
20.08,1228
20.09,1209
20.1,1274
20.11,1209
20.12,1273
20.13,1240
20.14,1208
20.15,1229
20.16,1212
20.17,1285
20.18,1206
20.19,1170
20.2,1214
20.21,1228
20.22,1273
20.23,1228
20.24,1222
20.25,1193
20.26,1180
20.27,1254
20.28,1210
20.29,1201
20.3,1260
20.31,1151
20.32,1212
20.33,1206
