"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core","mag.vec","dur.vec"
"1550","BARR_508_003","BARR",3,508,-1.35,"Exclude",NA,"winter",2,"BARR",508,3,"1.5","4"
"1551","BARR_509_003","BARR",3,509,-1.75,"Exclude",NA,"winter",2,"BARR",509,3,"1.5","4"
"1552","BARR_501_004","BARR",4,501,-0.02,"Exclude",NA,"winter",2,"BARR",501,4,"1.5","4"
"1553","BARR_502_004","BARR",4,502,-0.06,"Exclude",NA,"winter",2,"BARR",502,4,"1.5","4"
"1554","BARR_503_004","BARR",4,503,-0.16,"Exclude",NA,"winter",2,"BARR",503,4,"1.5","4"
"1555","BARR_504_004","BARR",4,504,-0.26,"Exclude",NA,"winter",2,"BARR",504,4,"1.5","4"
"1556","BARR_505_004","BARR",4,505,-0.36,"Exclude",NA,"winter",2,"BARR",505,4,"1.5","4"
"1557","BARR_506_004","BARR",4,506,-0.56,"Exclude",NA,"winter",2,"BARR",506,4,"1.5","4"
"1558","BARR_507_004","BARR",4,507,-0.86,"Exclude",NA,"winter",2,"BARR",507,4,"1.5","4"
"1559","BARR_508_004","BARR",4,508,-1.36,"Exclude",NA,"winter",2,"BARR",508,4,"1.5","4"
"1560","BARR_509_004","BARR",4,509,-1.96,"Exclude",NA,"winter",2,"BARR",509,4,"1.5","4"
"1561","BARR_501_005","BARR",5,501,-0.02,"Exclude",NA,"winter",2,"BARR",501,5,"1.5","4"
"1562","BARR_502_005","BARR",5,502,-0.06,"Exclude",NA,"winter",2,"BARR",502,5,"1.5","4"
"1563","BARR_503_005","BARR",5,503,-0.16,"Exclude",NA,"winter",2,"BARR",503,5,"1.5","4"
"1564","BARR_504_005","BARR",5,504,-0.26,"Exclude",NA,"winter",2,"BARR",504,5,"1.5","4"
"1565","BARR_505_005","BARR",5,505,-0.36,"Exclude",NA,"winter",2,"BARR",505,5,"1.5","4"
"1566","BARR_506_005","BARR",5,506,-0.56,"Exclude",NA,"winter",2,"BARR",506,5,"1.5","4"
"1567","BARR_507_005","BARR",5,507,-0.86,"Exclude",NA,"winter",2,"BARR",507,5,"1.5","4"
"1568","BARR_508_005","BARR",5,508,-1.36,"Exclude",NA,"winter",2,"BARR",508,5,"1.5","4"
"1569","BARR_509_005","BARR",5,509,-1.86,"Exclude",NA,"winter",2,"BARR",509,5,"1.5","4"
"1570","TOOL_501_001","TOOL",1,501,-0.02,"Keep",0,"winter",2,"TOOL",501,1,"1.5","4"
"1571","TOOL_502_001","TOOL",1,502,-0.06,"Keep",0,"winter",2,"TOOL",502,1,"1.5","4"
"1572","TOOL_503_001","TOOL",1,503,-0.16,"Keep",0,"winter",2,"TOOL",503,1,"1.5","4"
"1573","TOOL_501_002","TOOL",2,501,-0.02,"Keep",0,"winter",2,"TOOL",501,2,"1.5","4"
"1574","TOOL_502_002","TOOL",2,502,-0.06,"Keep",0,"winter",2,"TOOL",502,2,"1.5","4"
"1575","TOOL_503_002","TOOL",2,503,-0.16,"Keep",0,"winter",2,"TOOL",503,2,"1.5","4"
"1576","TOOL_504_002","TOOL",2,504,-0.26,"Keep",0,"winter",2,"TOOL",504,2,"1.5","4"
"1577","TOOL_505_002","TOOL",2,505,-0.36,"Keep",0,"winter",2,"TOOL",505,2,"1.5","4"
"1578","TOOL_506_002","TOOL",2,506,-0.46,"Exclude",NA,"winter",2,"TOOL",506,2,"1.5","4"
"1579","TOOL_507_002","TOOL",2,507,-0.56,"Keep",1,"winter",2,"TOOL",507,2,"1.5","4"
"1580","TOOL_501_003","TOOL",3,501,-0.02,"Keep",0,"winter",2,"TOOL",501,3,"1.5","4"
"1581","TOOL_502_003","TOOL",3,502,-0.06,"Keep",0,"winter",2,"TOOL",502,3,"1.5","4"
"1582","TOOL_503_003","TOOL",3,503,-0.16,"Keep",0,"winter",2,"TOOL",503,3,"1.5","4"
"1583","TOOL_504_003","TOOL",3,504,-0.26,"Keep",0,"winter",2,"TOOL",504,3,"1.5","4"
"1584","TOOL_505_003","TOOL",3,505,-0.36,"Keep",0,"winter",2,"TOOL",505,3,"1.5","4"
"1585","TOOL_506_003","TOOL",3,506,-0.46,"Keep",1,"winter",2,"TOOL",506,3,"1.5","4"
"1586","TOOL_507_003","TOOL",3,507,-0.56,"Keep",1,"winter",2,"TOOL",507,3,"1.5","4"
"1587","TOOL_501_004","TOOL",4,501,-0.02,"Keep",0,"winter",2,"TOOL",501,4,"1.5","4"
"1588","TOOL_502_004","TOOL",4,502,-0.06,"Keep",0,"winter",2,"TOOL",502,4,"1.5","4"
"1589","TOOL_503_004","TOOL",4,503,-0.16,"Keep",0,"winter",2,"TOOL",503,4,"1.5","4"
"1590","TOOL_504_004","TOOL",4,504,-0.26,"Keep",0,"winter",2,"TOOL",504,4,"1.5","4"
"1591","TOOL_505_004","TOOL",4,505,-0.36,"Keep",1,"winter",2,"TOOL",505,4,"1.5","4"
"1592","TOOL_506_004","TOOL",4,506,-0.46,"Keep",1,"winter",2,"TOOL",506,4,"1.5","4"
"1593","TOOL_507_004","TOOL",4,507,-0.56,"Keep",1,"winter",2,"TOOL",507,4,"1.5","4"
"1594","TOOL_501_005","TOOL",5,501,-0.02,"Exclude",NA,"winter",2,"TOOL",501,5,"1.5","4"
"1595","TOOL_502_005","TOOL",5,502,-0.06,"Exclude",NA,"winter",2,"TOOL",502,5,"1.5","4"
"1596","BONA_501_001","BONA",1,501,-0.02,"Keep",0,"winter",2,"BONA",501,1,"1.5","4"
"1597","BONA_502_001","BONA",1,502,-0.06,"Keep",0,"winter",2,"BONA",502,1,"1.5","4"
"1598","BONA_503_001","BONA",1,503,-0.16,"Keep",0,"winter",2,"BONA",503,1,"1.5","4"
"1599","BONA_504_001","BONA",1,504,-0.26,"Keep",0,"winter",2,"BONA",504,1,"1.5","4"
"1600","BONA_505_001","BONA",1,505,-0.46,"Keep",0,"winter",2,"BONA",505,1,"1.5","4"
"1601","BONA_506_001","BONA",1,506,-0.76,"Keep",0,"winter",2,"BONA",506,1,"1.5","4"
"1602","BONA_507_001","BONA",1,507,-1.06,"Keep",0,"winter",2,"BONA",507,1,"1.5","4"
"1603","BONA_508_001","BONA",1,508,-1.56,"Keep",0,"winter",2,"BONA",508,1,"1.5","4"
"1604","BONA_509_001","BONA",1,509,-1.86,"Keep",0,"winter",2,"BONA",509,1,"1.5","4"
"1605","BONA_501_002","BONA",2,501,-0.01,"Keep",0,"winter",2,"BONA",501,2,"1.5","4"
"1606","BONA_502_002","BONA",2,502,-0.05,"Keep",0,"winter",2,"BONA",502,2,"1.5","4"
"1607","BONA_503_002","BONA",2,503,-0.15,"Keep",0,"winter",2,"BONA",503,2,"1.5","4"
"1608","BONA_504_002","BONA",2,504,-0.25,"Keep",0,"winter",2,"BONA",504,2,"1.5","4"
"1609","BONA_505_002","BONA",2,505,-0.45,"Keep",0,"winter",2,"BONA",505,2,"1.5","4"
"1610","BONA_506_002","BONA",2,506,-0.75,"Keep",0,"winter",2,"BONA",506,2,"1.5","4"
"1611","BONA_507_002","BONA",2,507,-1.05,"Keep",0,"winter",2,"BONA",507,2,"1.5","4"
"1612","BONA_508_002","BONA",2,508,-1.55,"Keep",0,"winter",2,"BONA",508,2,"1.5","4"
"1613","BONA_509_002","BONA",2,509,-1.85,"Keep",0,"winter",2,"BONA",509,2,"1.5","4"
"1614","BONA_501_003","BONA",3,501,-0.02,"Keep",0,"winter",2,"BONA",501,3,"1.5","4"
"1615","BONA_502_003","BONA",3,502,-0.06,"Keep",0,"winter",2,"BONA",502,3,"1.5","4"
"1616","BONA_503_003","BONA",3,503,-0.16,"Keep",0,"winter",2,"BONA",503,3,"1.5","4"
"1617","BONA_504_003","BONA",3,504,-0.26,"Keep",0,"winter",2,"BONA",504,3,"1.5","4"
"1618","BONA_505_003","BONA",3,505,-0.46,"Keep",0,"winter",2,"BONA",505,3,"1.5","4"
"1619","BONA_506_003","BONA",3,506,-0.76,"Keep",0,"winter",2,"BONA",506,3,"1.5","4"
"1620","BONA_507_003","BONA",3,507,-1.06,"Keep",0,"winter",2,"BONA",507,3,"1.5","4"
"1621","BONA_508_003","BONA",3,508,-1.56,"Keep",0,"winter",2,"BONA",508,3,"1.5","4"
"1622","BONA_509_003","BONA",3,509,-1.86,"Keep",0,"winter",2,"BONA",509,3,"1.5","4"
"1623","BONA_501_004","BONA",4,501,-0.02,"Keep",0,"winter",2,"BONA",501,4,"1.5","4"
"1624","BONA_502_004","BONA",4,502,-0.06,"Keep",0,"winter",2,"BONA",502,4,"1.5","4"
"1625","BONA_503_004","BONA",4,503,-0.16,"Keep",0,"winter",2,"BONA",503,4,"1.5","4"
"1626","BONA_504_004","BONA",4,504,-0.26,"Keep",0,"winter",2,"BONA",504,4,"1.5","4"
"1627","BONA_505_004","BONA",4,505,-0.46,"Keep",0,"winter",2,"BONA",505,4,"1.5","4"
"1628","BONA_506_004","BONA",4,506,-0.76,"Keep",0,"winter",2,"BONA",506,4,"1.5","4"
"1629","BONA_507_004","BONA",4,507,-1.06,"Keep",0,"winter",2,"BONA",507,4,"1.5","4"
"1630","BONA_508_004","BONA",4,508,-1.56,"Keep",0,"winter",2,"BONA",508,4,"1.5","4"
"1631","BONA_509_004","BONA",4,509,-1.96,"Keep",0,"winter",2,"BONA",509,4,"1.5","4"
"1632","BONA_501_005","BONA",5,501,-0.03,"Keep",0,"winter",2,"BONA",501,5,"1.5","4"
"1633","BONA_502_005","BONA",5,502,-0.07,"Keep",0,"winter",2,"BONA",502,5,"1.5","4"
"1634","BONA_503_005","BONA",5,503,-0.17,"Keep",0,"winter",2,"BONA",503,5,"1.5","4"
"1635","BONA_504_005","BONA",5,504,-0.27,"Exclude",NA,"winter",2,"BONA",504,5,"1.5","4"
"1636","BONA_505_005","BONA",5,505,-0.47,"Keep",0,"winter",2,"BONA",505,5,"1.5","4"
"1637","BONA_506_005","BONA",5,506,-0.77,"Keep",0,"winter",2,"BONA",506,5,"1.5","4"
"1638","BONA_507_005","BONA",5,507,-1.07,"Keep",0,"winter",2,"BONA",507,5,"1.5","4"
"1639","BONA_508_005","BONA",5,508,-1.57,"Keep",0,"winter",2,"BONA",508,5,"1.5","4"
"1640","BONA_509_005","BONA",5,509,-2.07,"Keep",0,"winter",2,"BONA",509,5,"1.5","4"
"1641","HEAL_501_001","HEAL",1,501,-0.03,"Exclude",NA,"winter",2,"HEAL",501,1,"1.5","4"
"1642","HEAL_502_001","HEAL",1,502,-0.07,"Exclude",NA,"winter",2,"HEAL",502,1,"1.5","4"
